Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Uganda,225.5,227.7,244.2,263,300.7,301.5,291.4,298.1,328.5,322.9,690.6,684.6,349.6,293.5,310.6,344.7,357.9,391.1,463.4,710.1,1048.4,1066.6,896.8
Zambia,...,...,...,...,139.4,156,170.5,193.1,192.4,181.6,201.8,212,235.9,254.6,313.3,335.1,273.1,265.9,305.3,266.8,237,217.6,248.9
Zimbabwe,106.9,140.9,507.5,159.7,98.3,73.7,68.2,...,...,...,54,105.4,163,179.8,185.9,194.9,188.3,174.7,195,190.1,65.9,261,175.7
Belize,10,10.4,10.7,11.4,12.2,13.3,14.6,16,20.5,19.1,16.8,16.6,16.2,18.9,20.9,20.8,22.8,23.9,24.2,25.2,26.9,25.2,22.2
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Dominican Republic,330.9,389,360.4,268.7,237.7,294.4,284.1,284.1,326.3,320.5,344.3,327.6,369.5,362.5,418.5,449.3,473.8,525.6,589,619.1,630.6,581.6,672
El Salvador,177.3,233.2,245.8,188.4,182.4,180.9,185.9,207.2,202.8,220.3,230.5,240.7,240.5,252.7,246.1,262.5,260.8,272.1,303.9,327,355.8,351.6,393.7
Guatemala,469.7,552.4,409.2,444.1,265.5,212.6,248.2,244.2,264.7,248.4,271.9,287.6,316.9,339.1,317.4,315.4,345.5,302.4,296.2,355.3,356.6,341.8,405.4
Haiti,0,0,0,0,0,0,0,0,0,0,0,0,...,6.5,6.8,9.9,9.6,10.4,18,16.4,32.5,20.9,13
Honduras,109.3,124.7,124.2,157.3,112.6,110.6,126.9,150.6,186.7,209.5,217.2,239.7,249,344.7,345.9,401.9,419.7,457.7,431.8,448.5,375.3,438.1,449.5
Jamaica,66.8,71.1,85.8,89.6,83.2,80,95.3,105.5,142.6,138,122.4,129.6,129.1,124.4,120.1,124.6,141.4,148.7,209.9,265.3,238.5,217.6,203.2
